Date,Open,High,Low,Close,Adj Close,Range,daily_delta,percentage_delta,Volume,Event,Category
10/8/2020,1615.27002,1630.329956,1615.27002,1628.550049,1628.550049,15.059936,17.51001,1.086876153,3867640000,0,0
10/9/2020,1630.709961,1645.040039,1630.709961,1637.550049,1637.550049,14.330078,9,0.552638834,3944090000,0,0
10/12/2020,1642.459961,1652.050049,1637.349976,1649.050049,1649.050049,14.700073,11.5,0.702268612,3435760000,0,0
10/13/2020,1647.569946,1647.569946,1631.599976,1636.849976,1636.849976,15.96997,-12.200073,-0.739824301,3611100000,0,0
10/14/2020,1637.969971,1647.98999,1621.560059,1621.650024,1621.650024,26.429931,-15.199952,-0.928609966,3858510000,0,0
10/15/2020,1618.880005,1641,1598.48999,1638.880005,1638.880005,42.51001,17.229981,1.062496886,3724550000,0,0
10/16/2020,1638.47998,1646.25,1633.800049,1633.810059,1633.810059,12.449951,-5.069946,-0.309354314,4688030000,0,0
10/19/2020,1636.839966,1647.050049,1612.219971,1613.630005,1613.630005,34.830078,-20.180054,-1.235153003,4091080000,0,0
10/20/2020,1620.569946,1632.76001,1615.98999,1617.709961,1617.709961,16.77002,4.079956,0.25284334,3917850000,0,0
10/21/2020,1618.339966,1621.880005,1603.77002,1603.780029,1603.780029,18.109985,-13.929932,-0.861089586,4103960000,0,0
10/22/2020,1604.949951,1631.969971,1603.959961,1630.25,1630.25,28.01001,26.469971,1.650473913,4172060000,0,0
10/23/2020,1634.060059,1641.47998,1626.319946,1640.5,1640.5,15.160034,10.25,0.628737924,3651600000,0,0
10/26/2020,1635.219971,1635.219971,1586.890015,1605.209961,1605.209961,48.329956,-35.290039,-2.1511758,4002210000,0,2
10/27/2020,1605.680054,1609.530029,1590.709961,1590.709961,1590.709961,18.820068,-14.5,-0.903308623,3962400000,0,0
10/28/2020,1586.77002,1586.77002,1542.540039,1543.280029,1543.280029,44.229981,-47.429932,-2.981683221,5139970000,0,2
10/29/2020,1543.060059,1566.390015,1532.22998,1561.579956,1561.579956,34.160035,18.299927,1.185781365,4911860000,0,0
10/30/2020,1559.689941,1559.689941,1526.219971,1538.47998,1538.47998,33.46997,-23.099976,-1.4792695,4843930000,1,0
11/2/2020,1540.859985,1568.589966,1540.859985,1568.589966,1568.589966,27.729981,30.109986,1.95712563,4314690000,1,0
11/3/2020,1571.949951,1620.77002,1571.949951,1614.300049,1614.300049,48.820069,45.710083,2.914087428,4241380000,1,1
11/4/2020,1612.97998,1631.310059,1598.560059,1615.079956,1615.079956,32.75,0.779907,0.048312394,4790400000,1,0
11/5/2020,1616.650024,1664.119995,1616.650024,1660.050049,1660.050049,47.469971,44.970093,2.784388032,4858150000,1,1
11/6/2020,1660.780029,1667.150024,1648.26001,1648.26001,1648.26001,18.890014,-11.790039,-0.7102219,4842460000,1,0
